PROVNO,KABKOTNO,IDKAB,KABKOT,AHH_2010,AHH_2011,AHH_2012,AHH_2013,AHH_2014,AHH_2015,AHH_2016,EYS_2010,EYS_2011,EYS_2012,EYS_2013,EYS_2014,EYS_2015,EYS_2016,MYS_2010,MYS_2011,MYS_2012,MYS_2013,MYS_2014,MYS_2015,MYS_2016,PENG_2010,PENG_2011,PENG_2012,PENG_2013,PENG_2014,PENG_2015,PENG_2016,IPM_2010,IPM_2011,IPM_2012,IPM_2013,IPM_2014,IPM_2015,IPM_2016
12,01,1201,NIAS,68.45,68.58,68.69,68.77,68.87,68.97,69.07,10.2,10.35,10.75,11.15,11.45,11.77,12.09,4.59,4.63,4.67,4.71,4.75,4.76,4.92,5236,5505,5710,5914,5980,6234,6409,54.72,55.55,56.5,57.43,57.98,58.85,59.75
12,02,1202,MANDAILING NATAL,60.6,60.77,60.95,61.08,61.18,61.58,61.77,11.2,11.36,11.78,12.21,12.57,12.77,12.78,7.27,7.39,7.47,7.52,7.54,7.63,7.89,8425,8829,8871,8960,9040,9096,9237,60.76,61.6,62.26,62.91,63.42,63.99,64.55
12,03,1203,TAPANULI SELATAN,62.42,62.64,62.87,63.04,63.14,63.74,64.01,11.3,11.93,12.43,12.93,13.04,13.06,13.07,7.87,7.92,7.96,8.04,8.22,8.27,8.35,10070,10213,10357,10504,10593,10623,10821,64.2,65.14,65.95,66.75,67.22,67.63,68.04
12,04,1204,TAPANULI TENGAH,66.43,66.45,66.46,66.47,66.49,66.59,66.62,11.48,11.71,11.8,11.89,12.21,12.4,12.45,7.36,7.41,7.45,7.5,7.55,8.02,8.03,8796,9222,9324,9382,9489,9555,9694,64.39,65.16,65.43,65.64,66.16,67.06,67.27
12,05,1205,TAPANULI UTARA,66.76,66.91,67.05,67.15,67.25,67.55,67.71,12.33,12.58,12.83,13.09,13.14,13.19,13.61,8.54,8.6,8.79,9.04,9.05,9.31,9.32,10299,10740,10786,10850,10964,11079,11242,68.43,69.24,69.83,70.5,70.7,71.32,71.96
12,06,1206,TOBA SAMOSIR,68.59,68.72,68.86,68.94,69.04,69.14,69.25,12.1,12.36,12.62,12.89,13.16,13.18,13.19,9.67,9.71,9.75,9.79,9.83,10.08,10.09,10777,10909,11043,11178,11250,11535,11687,70.9,71.39,71.89,72.36,72.79,73.4,73.61
12,07,1207,LABUHAN BATU,69.16,69.19,69.22,69.24,69.26,69.36,69.4,10.71,11.32,11.72,12.17,12.56,12.57,12.58,8.17,8.32,8.46,8.6,8.68,8.75,8.78,9762,9909,10058,10210,10325,10356,10559,66.88,67.88,68.64,69.45,70.06,70.23,70.5
12,08,1208,ASAHAN,66.85,66.98,67.1,67.17,67.27,67.37,67.47,10.95,11.36,11.43,11.51,12.15,12.49,12.52,7.57,7.71,7.8,7.89,7.98,8.32,8.33,9532,9652,9773,9895,9988,10067,10288,65.06,65.87,66.23,66.58,67.51,68.4,68.71
12,09,1209,SIMALUNGUN,69.87,69.98,70.08,70.14,70.24,70.34,70.43,11.73,11.75,12.28,12.57,12.63,12.69,12.7,8.31,8.33,8.35,8.37,8.7,8.8,8.86,10092,10224,10358,10494,10597,10728,10855,68.8,69.03,69.79,70.28,70.89,71.24,71.48
12,10,1210,DAIRI,66.92,67.09,67.26,67.38,67.48,67.78,67.95,11.34,11.37,11.4,11.43,12.05,12.8,12.84,8.29,8.41,8.54,8.58,8.59,8.69,8.7,9040,9461,9520,9580,9642,9708,10190,65.91,66.62,66.95,67.15,67.91,69,69.61
12,11,1211,KARO,70.29,70.32,70.34,70.38,70.42,70.62,70.69,11.39,11.84,11.86,11.87,11.89,12.22,12.65,8.88,9.03,9.17,9.25,9.33,9.5,9.51,11173,11265,11359,11453,11548,11800,11925,70.36,71.12,71.4,71.62,71.84,72.69,73.29
12,12,1212,DELI SERDANG,70.74,70.75,70.76,70.78,70.8,71,71.06,11.1,11.14,11.61,11.77,12.11,12.52,12.69,9.19,9.2,9.21,9.37,9.46,9.48,9.68,10512,10647,10785,10924,11065,11359,11683,70.06,70.25,70.88,71.39,71.98,72.79,73.51
12,13,1213,LANGKAT,66.86,67,67.14,67.23,67.33,67.63,67.79,10.77,11.23,11.37,12.21,12.69,12.7,12.71,7.48,7.59,7.69,7.69,7.85,7.92,8.18,9351,9850,9910,9970,10062,10364,10567,64.57,65.77,66.18,67.17,68,68.53,69.13
12,14,1214,NIAS SELATAN,66.82,66.91,67.01,67.06,67.16,67.66,67.83,11.08,11.11,11.14,11.17,11.48,11.96,11.97,3.35,3.75,3.8,4.28,4.64,4.64,4.65,5840,6026,6213,6266,6329,6454,6647,54.54,55.5,55.97,56.78,57.78,58.74,59.14
12,15,1215,HUMBANG HASUNDUTAN,67.42,67.52,67.63,67.7,67.8,68.1,68.26,12.07,12.42,12.55,12.67,13.13,13.15,13.21,8.57,8.65,8.76,8.8,8.88,8.9,8.91,6351,6456,6562,6670,6736,6889,7135,63.4,64.06,64.54,64.92,65.59,66.03,66.56
